# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    6.00000000e-01  1.50596079e-04  1.35272124e-01  1.50596105e-04  1.43940004e-01  2.51104399e-04  5.37937809e-02  
    6.25000000e-01  1.50845941e-04  1.35151121e-01  1.50686783e-04  1.44055671e-01  2.50586923e-04  5.37545418e-02  
    6.50000000e-01  1.51082540e-04  1.35022980e-01  1.50713989e-04  1.44160702e-01  2.50023479e-04  5.37040539e-02  
    6.75000000e-01  1.51317087e-04  1.34887891e-01  1.50727507e-04  1.44254314e-01  2.49443202e-04  5.36449588e-02  
    7.00000000e-01  1.51546968e-04  1.34747119e-01  1.50738426e-04  1.44334292e-01  2.48844945e-04  5.35783106e-02  
    7.25000000e-01  1.51768921e-04  1.34601076e-01  1.50756115e-04  1.44398942e-01  2.48237174e-04  5.35045057e-02  
    7.50000000e-01  1.51980923e-04  1.34450208e-01  1.50786994e-04  1.44447959e-01  2.47612777e-04  5.34241708e-02  
    7.75000000e-01  1.52187529e-04  1.34294718e-01  1.50836463e-04  1.44482611e-01  2.46964989e-04  5.33388435e-02  
    8.00000000e-01  1.52384426e-04  1.34134631e-01  1.50907171e-04  1.44500961e-01  2.46275647e-04  5.32474668e-02  
    8.25000000e-01  1.52563983e-04  1.33969916e-01  1.50989595e-04  1.44502765e-01  2.45551152e-04  5.31499494e-02  
    8.50000000e-01  1.52721209e-04  1.33800463e-01  1.51071658e-04  1.44485945e-01  2.44832733e-04  5.30448470e-02  
    8.75000000e-01  1.52852922e-04  1.33626284e-01  1.51159707e-04  1.44452567e-01  2.44018725e-04  5.29334791e-02  
    9.00000000e-01  1.52961210e-04  1.33447328e-01  1.51248915e-04  1.44402580e-01  2.43149382e-04  5.28158800e-02  
    9.25000000e-01  1.53043331e-04  1.33263511e-01  1.51338906e-04  1.44335803e-01  2.42150971e-04  5.26920893e-02  
    9.50000000e-01  1.53101836e-04  1.33074783e-01  1.51420279e-04  1.44252417e-01  2.41197404e-04  5.25619372e-02  
    9.75000000e-01  1.53135071e-04  1.32881080e-01  1.51489773e-04  1.44152546e-01  2.40215676e-04  5.24254963e-02  
    1.00000000e+00  1.53141689e-04  1.32682306e-01  1.51547768e-04  1.44036189e-01  2.39206715e-04  5.22826839e-02  
    1.02500000e+00  1.53122184e-04  1.32478422e-01  1.51592873e-04  1.43903336e-01  2.38173907e-04  5.21334409e-02  
    1.05000000e+00  1.53076944e-04  1.32269353e-01  1.51627655e-04  1.43754023e-01  2.37114323e-04  5.19778093e-02  
    1.07500000e+00  1.53004039e-04  1.32055076e-01  1.51647452e-04  1.43588241e-01  2.36032994e-04  5.18157247e-02  
    1.10000000e+00  1.52904676e-04  1.31835553e-01  1.51648895e-04  1.43406212e-01  2.34963053e-04  5.16472358e-02  
    1.12500000e+00  1.52778304e-04  1.31610744e-01  1.51634607e-04  1.43208131e-01  2.33853823e-04  5.14724830e-02  
    1.15000000e+00  1.52627006e-04  1.31380612e-01  1.51610034e-04  1.42994192e-01  2.32719179e-04  5.12913939e-02  
    1.17500000e+00  1.52451839e-04  1.31145141e-01  1.51576498e-04  1.42764617e-01  2.31559552e-04  5.11041249e-02  
    1.20000000e+00  1.52250919e-04  1.30904318e-01  1.51528887e-04  1.42519604e-01  2.30341922e-04  5.09108698e-02  
    1.22500000e+00  1.52024538e-04  1.30658133e-01  1.51467501e-04  1.42259362e-01  2.29108577e-04  5.07115943e-02  
    1.25000000e+00  1.51774171e-04  1.30406622e-01  1.51394210e-04  1.41984104e-01  2.27843446e-04  5.05064568e-02  
    1.27500000e+00  1.51500497e-04  1.30149803e-01  1.51308646e-04  1.41694024e-01  2.26528135e-04  5.02955090e-02  
    1.30000000e+00  1.51208761e-04  1.29887705e-01  1.51213284e-04  1.41389308e-01  2.25209404e-04  5.00787524e-02  
    1.32500000e+00  1.50888074e-04  1.29620350e-01  1.51105176e-04  1.41070282e-01  2.23882446e-04  4.98562908e-02  
    1.35000000e+00  1.50545740e-04  1.29347795e-01  1.50983195e-04  1.40737226e-01  2.22530992e-04  4.96283539e-02  
    1.37500000e+00  1.50188149e-04  1.29070076e-01  1.50851377e-04  1.40390486e-01  2.21176926e-04  4.93950913e-02  
